"Proto","Local","Remote","State","OwningProcess"
"TCP","::1:1549","::1:50052","Established","7376"
"TCP","::1:1567",":::0","Listen","15828"
"TCP","::1:1567","::1:1669","Established","15828"
"TCP","::1:1669","::1:1567","Established","16212"
"TCP","::1:50052","::1:1549","Established","6832"
"TCP","0.0.0.0:4886","0.0.0.0:0","Bound","23508"
"TCP","127.0.0.1:10367","127.0.0.1:10368","Established","16224"
"TCP","127.0.0.1:10368","127.0.0.1:10367","Established","16224"
"TCP","127.0.0.1:11259","127.0.0.1:20123","Established","4288"
"TCP","127.0.0.1:11278","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:11655","127.0.0.1:20123","Established","4288"
"TCP","127.0.0.1:11670","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:11707","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:11708","127.0.0.1:49350","FinWait2","20444"
"TCP","127.0.0.1:11712","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:11724","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:11728","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:12043","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:12155","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:12157","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:12158","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:12159","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:12160","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:12161","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:12162","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:12163","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:12164","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:12165","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:12843","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:12900","0.0.0.0:0","Listen","14572"
"TCP","127.0.0.1:13688","127.0.0.1:14371","Established","6556"
"TCP","127.0.0.1:13688","127.0.0.1:1801","Established","6556"
"TCP","127.0.0.1:13688","127.0.0.1:4886","Established","6556"
"TCP","127.0.0.1:13834","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:13835","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:13895","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:13901","127.0.0.1:20123","Established","4288"
"TCP","127.0.0.1:14371","127.0.0.1:13688","Established","20804"
"TCP","127.0.0.1:14714","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:14997","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:1541","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:1542","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1543","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1544","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1546","0.0.0.0:0","Listen","6672"
"TCP","127.0.0.1:1547","127.0.0.1:5354","Established","6432"
"TCP","127.0.0.1:1548","127.0.0.1:31104","Established","6796"
"TCP","127.0.0.1:1550","127.0.0.1:5354","Established","6432"
"TCP","127.0.0.1:1551","127.0.0.1:1552","Established","8076"
"TCP","127.0.0.1:1552","127.0.0.1:1551","Established","8076"
"TCP","127.0.0.1:1553","127.0.0.1:1554","Established","8076"
"TCP","127.0.0.1:1554","127.0.0.1:1553","Established","8076"
"TCP","127.0.0.1:1557","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1558","127.0.0.1:1559","Established","2620"
"TCP","127.0.0.1:1559","127.0.0.1:1558","Established","2620"
"TCP","127.0.0.1:1560","127.0.0.1:31104","Established","6796"
"TCP","127.0.0.1:1561","127.0.0.1:1562","Established","3256"
"TCP","127.0.0.1:1562","127.0.0.1:1561","Established","3256"
"TCP","127.0.0.1:1563","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:1565","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1566","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1567","0.0.0.0:0","Listen","15828"
"TCP","127.0.0.1:1568","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1569","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1801","127.0.0.1:13688","Established","12100"
"TCP","127.0.0.1:1905","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1909","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1910","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1911","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:1912","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:20122","0.0.0.0:0","Listen","6612"
"TCP","127.0.0.1:20122","127.0.0.1:12155","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:13895","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:14714","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:14997","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:1541","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:1563","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:2713","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:2803","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:3286","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:5653","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:5736","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:5821","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:6408","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:6555","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:7420","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:8059","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:8404","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:9244","Established","6612"
"TCP","127.0.0.1:20122","127.0.0.1:9832","FinWait2","6612"
"TCP","127.0.0.1:20122","127.0.0.1:9949","Established","6612"
"TCP","127.0.0.1:20123","0.0.0.0:0","Listen","6612"
"TCP","127.0.0.1:20123","127.0.0.1:11259","Established","6612"
"TCP","127.0.0.1:20123","127.0.0.1:11655","Established","6612"
"TCP","127.0.0.1:20123","127.0.0.1:13901","Established","6612"
"TCP","127.0.0.1:20123","127.0.0.1:6973","Established","6612"
"TCP","127.0.0.1:20123","127.0.0.1:9840","Established","6612"
"TCP","127.0.0.1:2495","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:25120","0.0.0.0:0","Listen","14572"
"TCP","127.0.0.1:27015","0.0.0.0:0","Listen","6432"
"TCP","127.0.0.1:2713","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:2803","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:2805","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:2806","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:31100","0.0.0.0:0","Listen","6796"
"TCP","127.0.0.1:31104","127.0.0.1:1548","Established","7376"
"TCP","127.0.0.1:31104","127.0.0.1:1560","Established","7376"
"TCP","127.0.0.1:3286","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:3287","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3584","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3694","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:3696","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3697","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3698","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3699","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:3700","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:4794","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:4886","127.0.0.1:13688","Established","23508"
"TCP","127.0.0.1:49350","0.0.0.0:0","Listen","20444"
"TCP","127.0.0.1:49350","127.0.0.1:11708","CloseWait","20444"
"TCP","127.0.0.1:49890","0.0.0.0:0","Listen","7040"
"TCP","127.0.0.1:5164","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:5283","0.0.0.0:0","Listen","14572"
"TCP","127.0.0.1:5284","0.0.0.0:0","Listen","3356"
"TCP","127.0.0.1:5354","0.0.0.0:0","Listen","6512"
"TCP","127.0.0.1:5354","127.0.0.1:1547","Established","6512"
"TCP","127.0.0.1:5354","127.0.0.1:1550","Established","6512"
"TCP","127.0.0.1:5653","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:5715","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:5716","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:5736","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:5738","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:5821","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:6408","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:6410","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6411","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6412","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6413","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6414","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6415","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6416","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6417","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6418","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6419","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6420","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6421","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6422","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6423","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6424","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6555","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:6557","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:6973","127.0.0.1:20123","Established","4288"
"TCP","127.0.0.1:7420","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:7422","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:7423","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:8005","0.0.0.0:0","Listen","16224"
"TCP","127.0.0.1:8059","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:8404","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:8406","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:8407","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:8408","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:8548","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:8549","127.0.0.1:49350","TimeWait","0"
"TCP","127.0.0.1:9080","0.0.0.0:0","Listen","6620"
"TCP","127.0.0.1:9244","127.0.0.1:20122","Established","8000"
"TCP","127.0.0.1:9520","127.0.0.1:20122","TimeWait","0"
"TCP","127.0.0.1:9832","127.0.0.1:20122","CloseWait","8000"
"TCP","127.0.0.1:9840","127.0.0.1:20123","Established","4288"
"TCP","127.0.0.1:9949","127.0.0.1:20122","Established","8000"
