"Time","Sample","ProcessId","ParentProcessId","Name","ExecutablePath","CommandLine"
"2026-04-05T23:44:40.4372579+08:00","1","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:41.9719628+08:00","2","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:43.3910053+08:00","3","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:44.8544483+08:00","4","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:46.2955073+08:00","5","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:46.2955073+08:00","5","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:44:47.9851047+08:00","6","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:47.9851047+08:00","6","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:44:49.4537341+08:00","7","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:49.4537341+08:00","7","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:44:50.8594152+08:00","8","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:50.8594152+08:00","8","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:44:52.3669331+08:00","9","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:52.3669331+08:00","9","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:44:53.7810303+08:00","10","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:53.7810303+08:00","10","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:44:55.4689167+08:00","11","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:55.4689167+08:00","11","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:44:56.9234993+08:00","12","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:56.9234993+08:00","12","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:44:58.3913518+08:00","13","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:58.3913518+08:00","13","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:44:59.7978935+08:00","14","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:44:59.7978935+08:00","14","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:45:01.0628188+08:00","15","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:45:01.0628188+08:00","15","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:45:02.4374174+08:00","16","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:45:02.4374174+08:00","16","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:45:03.7038217+08:00","17","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:45:03.7038217+08:00","17","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:45:05.0008697+08:00","18","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:45:05.0008697+08:00","18","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:45:06.2824002+08:00","19","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:45:06.2824002+08:00","19","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:45:07.5627016+08:00","20","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:45:07.5627016+08:00","20","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
"2026-04-05T23:45:09.0319482+08:00","21","23508","1620","SystrayComponent.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\Win32\SystrayComponent.exe"" "
"2026-04-05T23:45:09.0319482+08:00","21","22968","1780","GamingCenter3_Cross.exe","C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe","""C:\Program Files\WindowsApps\ControlCenter3_5.17.49.14_x64__wrbgcf7aesyd8\GamingCenter3_Cross.exe"" -ServerName:App.AppXnfwd5jme2fr1f8pm7849rvkkd1jdp0hf.mca"
